%4|1780373872.618|FAIL|rdkafka#consumer-8| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10244ms in state APIVERSION_QUERY)
%4|1780373872.743|REQTMOUT|rdkafka#consumer-8| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780373873.115|REQTMOUT|rdkafka#consumer-12| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10108ms, timeout #0)
%4|1780373873.152|FAIL|rdkafka#consumer-12| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10145ms in state APIVERSION_QUERY)
%4|1780373873.238|REQTMOUT|rdkafka#consumer-12| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780373873.303|REQTMOUT|rdkafka#consumer-13| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10122ms, timeout #0)
%4|1780373873.393|FAIL|rdkafka#consumer-13| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10212ms in state APIVERSION_QUERY)
%4|1780373873.394|REQTMOUT|rdkafka#consumer-13| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780373873.990|REQTMOUT|rdkafka#consumer-15| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10125ms, timeout #0)
%4|1780373874.054|FAIL|rdkafka#consumer-15| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10189ms in state APIVERSION_QUERY)
%4|1780373874.114|REQTMOUT|rdkafka#consumer-15| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780373874.148|REQTMOUT|rdkafka#consumer-16| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10115ms, timeout #0)
%4|1780373874.222|FAIL|rdkafka#consumer-16| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10188ms in state APIVERSION_QUERY)
%4|1780373874.276|REQTMOUT|rdkafka#consumer-16| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780373882.781|REQTMOUT|rdkafka#consumer-7| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10083ms, timeout #0)
%4|1780373882.816|FAIL|rdkafka#consumer-7| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10118ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780373882.816|REQTMOUT|rdkafka#consumer-7| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780373883.513|REQTMOUT|rdkafka#consumer-13| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10111ms, timeout #0)
%4|1780373883.654|FAIL|rdkafka#consumer-13| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10254ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780373883.759|REQTMOUT|rdkafka#consumer-13| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780373884.324|REQTMOUT|rdkafka#consumer-15| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10096ms, timeout #0)
%4|1780373884.523|FAIL|rdkafka#consumer-15| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10295ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780373884.556|REQTMOUT|rdkafka#consumer-15| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780374187.387|REQTMOUT|rdkafka#consumer-14| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10125ms, timeout #0)
%5|1780374187.387|REQTMOUT|rdkafka#consumer-2| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10125ms, timeout #0)
%5|1780374187.387|REQTMOUT|rdkafka#consumer-3| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10126ms, timeout #0)
%5|1780374187.387|REQTMOUT|rdkafka#consumer-10| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10114ms, timeout #0)
%5|1780374187.387|REQTMOUT|rdkafka#consumer-4| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10113ms, timeout #0)
%4|1780374187.401|FAIL|rdkafka#consumer-14| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10138ms in state APIVERSION_QUERY)
%4|1780374187.476|REQTMOUT|rdkafka#consumer-14| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374187.401|FAIL|rdkafka#consumer-3| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10139ms in state APIVERSION_QUERY)
%4|1780374187.415|FAIL|rdkafka#consumer-10| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10142ms in state APIVERSION_QUERY)
%4|1780374187.476|FAIL|rdkafka#consumer-4| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10202ms in state APIVERSION_QUERY)
%4|1780374187.892|REQTMOUT|rdkafka#consumer-4| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780374187.495|REQTMOUT|rdkafka#consumer-5| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10101ms, timeout #0)
%5|1780374187.620|REQTMOUT|rdkafka#consumer-12| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10115ms, timeout #0)
%4|1780374187.664|REQTMOUT|rdkafka#consumer-3| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780374187.667|REQTMOUT|rdkafka#consumer-13| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10102ms, timeout #0)
%5|1780374187.698|REQTMOUT|rdkafka#consumer-15| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10121ms, timeout #0)
%5|1780374187.698|REQTMOUT|rdkafka#consumer-16| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10124ms, timeout #0)
%5|1780374187.698|REQTMOUT|rdkafka#consumer-6| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10121ms, timeout #0)
%5|1780374187.714|REQTMOUT|rdkafka#consumer-17| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10114ms, timeout #0)
%5|1780374187.760|REQTMOUT|rdkafka#consumer-7| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10118ms, timeout #0)
%4|1780374187.762|REQTMOUT|rdkafka#consumer-10| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780374187.839|REQTMOUT|rdkafka#consumer-8| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10119ms, timeout #0)
%4|1780374187.401|FAIL|rdkafka#consumer-2| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10139ms in state APIVERSION_QUERY)
